,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,409,당고개역,0,0,1,17437,0:00,0,0,0,0,0,0,2,43,2,0
1,410,상계역,1.2,0,1,"33,407",1:30,0,0,0,0,0,0,1,55,6,0
2,411,노원역,2.2,0,1,76922,1:30,1,1,0,0,0,0,0,57,5,9
3,412,창동역,3.6,0,1,120493,2:00,1,0,1,0,0,0,0,44,5,1
4,413,쌍문역,4.9,0,1,50127,1:30,0,0,0,0,0,0,2,50,10,1
5,414,수유역,6.4,0,0,"61,631",2:00,0,0,0,0,0,0,5,51,10,3
6,415,미아역,7.8,0,0,"26,574",1:30,0,0,0,0,0,0,3,58,11,1
7,416,미아사거리역,9.3,0,0,48854,2:00,0,0,0,0,0,0,5,48,7,3
8,417,길음역,10.6,0,0,"37,535",1:30,0,0,0,0,0,1,0,23,2,0
9,418,성신여대입구역,12,0,0,62172,2:00,1,0,1,0,0,0,3,50,11,5
10,419,한성대입구역,13,0,0,"25,011",1:30,0,0,0,0,0,1,2,46,6,1
11,420,혜화역,13.9,0,0,"63,728",1:30,0,0,0,0,0,0,1,59,12,3
12,421,동대문역,15.4,0,0,85264,2:00,1,1,0,0,0,1,0,52,2,1
13,422,동대문역사문화공원역,16.1,0,0,240714,1:00,2,2,0,0,1,1,0,46,1,4
14,423,충무로역,17.4,0,0,178461,2:00,1,1,0,0,0,0,0,50,3,3
15,424,명동역,18.1,0,0,"41,501",1:00,0,0,0,0,0,1,1,60,10,10
16,425,회현역,18.8,0,0,"44,577",1:00,0,0,0,0,0,1,1,52,5,4
17,426,서울역역,19.7,0,0,156557,1:30,6,1,5,1,1,1,0,5,1,1
18,427,숙대입구역,20.7,0,0,24647,1:30,0,0,0,0,0,0,0,52,5,2
19,428,삼각지역,21.9,0,0,57291,1:30,1,1,0,0,0,0,2,47,1,2
20,429,신용산역,22.6,0,0,31334,1:00,0,0,0,0,0,0,0,60,3,6
21,430,이촌역,23.9,0,0,45556,1:30,1,0,1,0,0,0,2,7,2,1
22,431,동작역,26.6,0,1,45406,3:00,1,0,1,0,1,0,0,2,0,0
23,432,총신대입구역,28.4,0,0,101827,2:30,1,1,0,0,0,0,1,52,8,1
24,433,사당역,29.5,0,0,197979,1:30,1,1,0,0,0,1,1,48,7,2