,Unnamed: 0,statnNm,rating,review,review_count
0,0,당고개역,3.5,"There are many restaurants and shops around the last station of Line 4, which can be used to go to Suraksan Mountain Climbing, so it is good to buy bottled water and gimbap.The reason is the station located at the end of Line 4.There are a lot of cheap shops around.There are no people who do not smoke, such as the side of the car next to the station.As there are shacks and daldong -dong like Sillim -dong, the atmosphere has been a little better than before.It is.The male station staff shouted, ""Go out,"" with a look that he sincerely wants to defeat me.Do you think the station attendant is just treating the subway?I'm really disappointed.The worst of the service.Details/Danggo Station First Tea.This is the last train schedule.There is a new stage of the train station and \ nBefore the acorns, the tofu kimchi is the best place to drink soju in Danggogae.n I feel a bit of a quiet rural mood.ㅐ헣허헢ㅎㅎㅎㄹㅊㄹㅊㅎㅎㅍㅍ퍼펴ㅝㅎㅎㅎㅎㅎ헐/4호선의 종점이고, 출근시간에 매우 붐빈다./전철역 주변이 너무 더러워요/아주 마음에 드는 장소/4호선 끝/4호선 기점/시골느낌이Strong/Reserve Army/Danggae/Subway Line 4 and takes 40 minutes to Yongsan Station.",51
1,1,상계역,3.9,"It is a station where Sanggye Station/station attendants (Line 7) are quite chilly and respond to the customer and hesitate to talk to young customers.Be careful.It is better to use it at Gun Nowon Station./ The environment around Sanggye Station \ N☞ The last station of Line 4, Dango Station Station, \ N☞ Apartments and shopping malls are packed with food \ n.Located on the road, there is a tunnel to Namyangju.Full of food \ nip Tunnel is convenient for transportation \ nknings \ ni -natural \ nits \ n.It is convenient because there is a staircase \ n \ n Mountain Climbing Information ~ Bulam Mountain, Suraksan \ n \ n Bulam Mountain (Korea's famous temple cheonbosa location)You can climb.You can see the star in the back of the summit, and to the front.Sanggye Station.I can see the wonderful view to Nowon Station.It is connected to Suraksan, so the scenery is so beautiful. \ N \ n Suraksan \ n..There are also Suraksan roads to the upper army of Tango Station, so if you are a 2 -year -old or 5 -mountain, it is better to do it at Sanggye Station.There is a bus stop except the village bus, so if you change the bus by bus, you should take into account the travel time.It is a region ^^/An ordinary subway station in Korea..I like to work hard.Thank you for the train to the end of Nowon/Eating Alley is on Exit 1.I like it very much/~~~/Line 4 vehicle base/tastes good/good/ㄹ oh/???????…/It was pretty good, but the system was not good.",56
2,2,노원역,3.6,"It is a transit station where lines 4 and 7 are crossed. It is the largest floating population in the northeast area. \ N can use Lotte Department Store and Nowon -gu Office.It's the same ㅎㅎ \ n.It is not good because it is a place that is used frequently.. \ N If you enter the broadcast, the train captain tells you to get off the Danggo, or you can see it.I don't even see the will now.Ida/Sanggye -dong and Chang -dong are between Line 4.7/2 consecutive returns are over.To ride Line 7, you have to walk quite a long distance \ nThe transfer is very inconvenient/The floating population is complicated, and some outlets are Escalator installation construction, which is a little uncomfortable, \ n.The transfer section of the Hobu Line and Line 7 is quite long../ The transfer distance is too far \ n Walking with your mind/As of May 2021, some stairs escalators are under construction.I don't feel so far.Experience it.It's longer than DMC stations ./ Comfort/Subway Station ¡!Transit Station/Makdang Transfer/Heart Tteok/Old Nowon Station, but it is getting better by renovating the facility.I recommend Sumye Station over this station./ Good",56
3,3,창동역,3.5,"It is often passed by the transfer of Line 1 to Line 4 \ N \ n is still cluttered.The only place with the worst constructive requirements in traffic, such as the outskirts and the seven major monsters of Seoul, Changdong Station.Although it is not difficult to transfer, the construction is stopped during the private history construction, especially the platform on Line 1 and there is no screen door.Exit 1 is close to Hanaro Mart and Exit 2 with E -Mart.There is a shopping mall called platform Chang -dong 61, and two pork cutlet restaurants called Sanuki and Mazmura are famous./It is good to be able to do it.If you ride in a crowded time, you can get a seat for a crowded time.There is also a platform 61 of the theater platform, and on the second sphere, there is an E -Mart and \ N restaurant.The money below is the Golden Gate, and there is a subway line 4.7.There are some parts under construction.When to be completed/when the construction of the subway construction was old until the construction of the private history, it was an old but convenient place.The passing station. \ N \ n1 exit is a platform, a Hanaro Mart, a zero gravity area, a stalls (basketball coat), and a subway…There are no details/a few station exits, but every time I come out, I'm confused.As with all of the lines 1, the young evaluations are not good here.It's an old history.The exit is complicated.The facility is under construction, but it may be a little uncomfortable! Later, it is convenient to say that the GTX train passes, and there is no screen door on Line 1.I don't know why I give 2-3 points.There's/I'm loud because I'm doing a subway station track. @@/\ n is also not installed in the screen door.However, the Mija history remains unspecified.Members of the regional parliament are incompetent.If you are in the election, you will solve the private history.I don't know anything else, and exit 2 is too messy.The stalls are illegally occupied, so it's messy and noisy.In short, it is incompetent.Are you interested in creating a pleasant Changdong station, a local residents?Even again, the locals who are re -eliminating during the election will have to wake up/Will the completion of private history, which have been going on for several years, will always be?Despite many users, it harms the city's aesthetics because of the realized private history, which has been interrupted.It feels a little cheaper than nearby Nowon Station or Suyu Station,/Subway Station, Line 4 and Line 1 transfer to the section/Changdong Station Exit 1 Platform.There is a collection box and a locker. \ N4 The elevator on the elevator/strike ... The interval interval is too long.There aren't many things .../The ride groove on Line 1, which goes to Nokcheon, Cheongnyangni, has changed ../I always use it for fresh products.If you get off, there are Dooli images and sculptures.Many/Neighborhood of power generation/It has become clean, but still is still messy/Changdong champon champon is the best place./Changdong Station Line 4/Transit Lines 1 and 4/Subway Station /2022.1.29.Changdong/Mu-I/Changdong Pochachon/????????/Transit Station on Line 4 and 1/Not bad/116/412 Changdong Station",99
4,4,쌍문역,3.7,"Obviously, the traffic is based on the right traffic, but I can't go down because of the people who come up all at once.I don't like to ride the train every time.Even people who are not basic are a problem, but I want you to do some alternatives.Is there a law that doesn't have an accident?ㅜ/This is the only sushi restaurant to eat around.Do you know if the shop around you are kind?Near this station, a very strange neighborhood is not found at all.There are quite a lot of merchants who are selling something like the boss.Really annoying neighborhood.The station attendant of this station is also very unkind.I don't understand why this is not the case.When I go out, I have been to meet with a friend of the sights, Ssangmun Station, and Memories.Exit 2 of Ssangmun Station is in front of the mayor and the church, so it is inconvenient because the elderly and people are under the crowd/mayor.In the past, there were a lot of Dooli decorations, so it was pretty/Dobong -ro is convenient to transfer.It is very crowded during commute.
History feels old, rather better/convenient average enemy/You were happy",51
5,5,수유역,4.2,"Gangbuk -gu Suyu Station, Subway Line 4, and the frontline Cheorwon are available for intercity buses.It is a raw spring roll house that is not far from the lactation station.There seems to be a lot of karaoke rooms/Subway Line 4 Suyu Station/Gourmet bars when I go outside/Very delicious!(^^) 200829/In Memorian Bonexe is my best friend.",9
6,6,미아역,3.5,"It's an old train station, but it's recently remodeling.I was hospitalized and performed with a disease. I found out that this hospital was a good and recommended clinic while I was a professional clinic for shoulders and feet.\ N \ n \ n is easy and quick to understand and judge.It is not the same atmosphere and has a strong traditional market.It is not well known, but there are one Takoyaki stall.It's a quiet neighborhood.Go to feed and go to Mass or lactation.Mia has only 59 pizzas of Burger King McNalk Gimbap.It's not delicious in front of the station.Walk a lot of Shinil Go or Sungshin Women's University Unjeong Green Campus.It's not bad in spring autumn.I'm sorry to say that I don't see anything.History deployment is uncomfortable.Because of that, I knew Mia.The dentist's name is Seoul Miso Tower Dental Clinic.Thank you ./ Simple and very functional stations",38
7,7,미아사거리역,4.0,"Since when the Misam has become a mass \ n, I change a lot and the surroundings are changed a lot.Details/Still Mia Sam Street Station.There was a land theater in the old place, but it was changed to CGV (now), but it was a place where Dobong -gu and Gangbuk -gu were bolded.There is an E -Mart Hyundai Department Store, etc./I used to have a three -way street, but now it was all changed to the intersection and the name was changed to Mia Intersection or Mia Intersection.There is an alley and a lot of restaurants and hidden restaurants.I like it because I have seats and plugs for those who need this subway station ./????It's a general history, and it's a good pub in Gangbuk end house.There are Lotte Department Store and CGV in detail, and there are many Korean restaurants rather than food or fusion dishes near exit 1 ~ 3.CGV is a bit smaller.\ n There are many restaurants/Line 4 This is between Gileum Station and Mia Station.\ N Rich in food in the traditional market.This is the central range of Miari./ The best subway station/Sungin Market likes/No elevator at Exit 2/Gangbuk -gu Landmark Subway Station ~!It's a long ... ^^/It's delicious/complex/crowded.In fact, it is said to be a major passage through the northeast of Seoul.",78
8,8,길음역,3.8,"Gilum Station on Line 4 and Exit 1 ~ 10 times./365 days intersection leads to the new East Beggar New Town.It is becoming bright and clean. \ N has many entrances to the subway, and \ n has a long distance from some entrance sections.Gilum New Town is close and you can go to the people, but there are some streets.The exit and the exit managed by the industrial complex are different.Gilum Station/There are a lot of residential areas and the air is a bit crazy/The toilet is outside history/I don't know the theme of this neighborhood/where I spent my childhood/Line 4/The mall from the 10th exit of the night is this world. \ NIt is attention to passengers, there is a place used by people with special purposes.",43
9,9,성신여대입구역,3.9,"Line 4, Wuyi New Line Transit Station, which is important to residents of Seongbuk area./Hongshin Women's University Line 4 Subway Station/Wuyi New Line is not updated at Google Map Someday What are you doing?/The pictures hanging on the subway station are good.There is also a shelter.There is a suitable food bakery and there is a passage that connects directly to the next building/Line 4.^/The snacks were delicious, but the guest was busy, so I was busy, but the menu came out and the broth bounced in the clothes.Establishment ../ The entrance stairs are narrow except for one place.If you walk on foot on foot, you must hold your head and take care of your eyes.The destination is the tomb after Queen Seondeok.It was a place I lived when I was young 50 years ago.In this station, the light rail to Jeongneung is newly established.There are stores between Miari Pass at the station.In particular, the bus route is connected well.Details/The platform is very wide.You have to be careful because it is so wide that adults can fall out.The station is not good because the station is not good./ Baekjongwon restaurant.Ui -dong \ n good citizenship is good ??/There are some things around the station, and there are many shopping malls, food and fusion restaurants, cafes, cosmetics shops, drug stores, motels./The floating population is where the subway line 4 meets the Ui Line, and there is a bus stop around the next place.Go./ The old taste is not good. The price has also risen too much.ㅠ/Subway Line 4 Subway Station.It is a place where Sungshin Women's University is close and traditional. \ N It is also close to Daehak -ro.Bread -like buns win the neighborhood/thorough disinfection management, heat and distance, and wear masks.The area to go through?It's also good for shopping.There is a close to Arirang Hass Miarigogae.There is a light rail that operates Ui -dong and Sinseol -dong./Light rail transfer is also possible and \ n is a good place to be a good place !!!/I don't like it and I can go to a comfortable escalator.There are many.Instead, there are many restaurants/Kalguksu.\ n's visit to the market 4 \ n was Oh .. Odi/5 minutes from the subway station.It's not very good because it's not a lot.I'm rating the subway, and I opened it.The best shopping mall/Uta Mall ISquare directly attached to the Women's band.There is no toilet outside of the station/ticket gate that is better as it is, and there is no sign... Not not/Transportation is convenient/Wuy-Convenient to transfer with new light rails/convenient/Wooi new light rail/Wuyi new light rail transit station/Seongsin Women's University Station Clean and GoodIt's a lot better.Finding ~~/Like/Memories of Subway Station/Public Transportation/It is Heaven of Young Children/Livestock/Live Place/Many peopleㅎ/Good to play/No parking lot/best/very good ~~~/????…/Good place/Hometown/None/None/None/No Best/Korean House/Features ../Subway Station Plain/User Mandatory Order/Good ♥/Fast Accuracy/Youth Street/Cool/Subway station./ Traffic Good/Many/Transit convenience/Transit convenience/Eating Alley/Subway Transit Station/Subway Station/Subway Station/Subway/Sungshin Women's University/Subway Station/People's Make/Seongsin Women's UniversityHerbs/Women's University?.It is easy to explore the interior.There are a lot of things to choose, and the price is cheap./ Very beautiful place/It's easy to use and fun.",390
10,10,한성대입구역,4.0,"Hanyang Do -seong Soonsung -gil Hwamun \ N \ n Hyehwamun to Dongdaemun, Hanyang Do -seong Sunsung -gil, Naksan Course and Hyehwamun to Sukjeongmun to the Creative Gate, the end of the book, just the end/just a good way to Bukchon Village/Passing through Hyehwa -dongIt is also a history that goes up to Hyehwamun, Seoul, Seoul, as well as Hansung University..The toilet is also clean. \ N is good to have a dunkin in history.It is less than the Daiso store than Jonggak, but it has a lot of products.Gopchang, chicken ribs, eel, makchang, cuttlefish, pork belly, Korean beef, etc.The road is narrow, but there are a lot of cheap restaurants around the university.Never drink \ n \ n \ n I can't know what we've barked in the deleted 12 hours/Seongbuk -dong Castle · Car Closed, etc.Outside the ticket gate, the island platform/Oh my proud Daehansung University entrance/Tteokbokki restaurant is cheap and delicious at Hanseong University's entrance.Hansung District 4th Exit 4 Seongbuk -dong 14th Street/There are many events in the alleys, good market and promenade/Seongbuk -dong World Food Festival Recommendation/European Christmas Festival ... ignorance/Space to relax/Clean and convenient/Shopping mall around the subway without character/Clean station/accessibility is good.Small ./ The transportation is very good.Exit/distance is far/Okay/Climbing start!/Normal level.A good place to visit summer days ./ We are the same/great/good place",136
11,11,혜화역,4.2,"It's also crowded on the weekend \ n and on the ground road where young friends are inadvertently, \ n's grandmothers have political protests ..../It's good to see the play for a long time \ n \ nn \ n seems to be less likely to go around because it is less than a few years ago.And it's a good place to live with people! \ N Come to play ~ ^^/When you come to Seoul, it's one of the most often coming.The station exit is \ n I hope there are a little more ...?//It is between Dongdaemun Station and Hansung University.Untiry and lively neighborhood/Until the early 2000s, the neighborhood was the best place of culture in Korea.Recently, the role has been reduced a lot, but it is still a holy place of the theater, and there are still universities in the neighborhood.The youth and artistic senses of Daehak -ro are buried.Well. \ N There are many theaters and restaurants around. \ N \It is not far from the back gate of Seoul National University Hospital and Jongno 5 -ga Station on Line 1, so it is easy to move by KTX./In the past, I went to the park and went to the park, but nowadays, there is nothing special.much special./ I'm going today ....... \ N It was good to be free of charge.I decided to do it.There is a lack of trash can. \ N1, especially at exit 4.The takeout cups are abandoned a lot./It is a street with youth.The road to accumulate a lot of good memories that can feel the distance of youth.Female toilet, disabled toilet, luggage paid storage center, 1 ATM/Kim Malja snack/History 4th Lobby Paid Ledding Store 2/History 2, 2 Entrance Lobby ATM, 1 paid self -proof camera/It is a major public transportation of unmanned civil complaints/Daehakro in the history lobby.The theater is connected to Daehak -ro, Bunsong Telecommunication University, and Seoul National University Hospital./ Changgyeonggung Palace and Sungkyunkwan are next to the evening neighborhood.. \ N There is Seoul National University Hospital.To see musicals and plays here.Many young people are dragon/Daehak -ro \ n Korean talent and passion are \ nThe lush recording of the time speaks of the depth of the years/Daehak -ro ~ There are many theatrical venues ~/General train station.Place! Jisam Line was just that/It is a good place to meet, and it is good to eat and play.The venue is clean/there are a lot of people, but there are many things to see, there is a lot of food to go for a walk. \ NThe population is a lot of population and a little bit of repair!There are many places, so there is no insane when using Hyehwa Station.@.@/Now I can't see the romance of the same time.\ n Last Taiyaki ♥/Drama/When I go to Seoul National University Hospital, I get off/always the streets of lively young people/where the history is on/a good place to date/If you are afraid of the play/there was a time when you were a young man.You are alive/one of Seoul's hot places!Place .../Likes/Best Station Hyehwa Station Best/Very good!/Line 4 ~~Street Park/ㅎ ㅎㅎㅎ/Hyehwa Station/Daehak -ro/Subway Line 4 The next Hyehwa Station in Dongdaemun.There are many small theaters of art, so you can also buy the same day.There were also a lot of restaurants, so there was a worth of clothing stores.It's fun just walking this area!It is recommended because there are many performances from 20 o'clock at night.Details/I visited in the fall of the summer of 2012.Ayuka Station.There are many restaurants around Daehak -ro, and students make the same street.It is a famous Ihwa -dong mural where you walk south from this station.The photo was taken in the fall of 2015, and the submission is September 2020.I think there are some shops closed by the effect of the new corona virus during this period.I hope you can enjoy the image based on that.The store is not as expensive as otters that SKKU students often visit.The food is delicious and there are many cinema and cafes.It's a good idea to spend the afternoon here.In addition, more than 60 artists who participated in the mural project sponsored by the Public Art Promotion Committee, formed in 2006 by more than 60 artists who installed murals and installed public art sculptures.It is becoming a tourist attraction that attracts many tourists. ""DAXUE ROAD has many restaurants.There are also a lot of stalls next to Hyehwa Station.Good and inexpensive food.shopping center.Close to shopping centers such as Myeong -dong/This is a wild boar habitat/a good place to shop.",189
12,12,동대문역,4.2,"Dongdaemun Station is a station where Subway Line 1 and 4 meet.N Design Plaza (DDP) is your filming location from the drama stars ... ""In detail, Dongdaemun History and Culture Park Station is better than here.There aren't many restaurants and shops.It is a transfer station of Line 4.ㅎㅎ The past and the future are harmonized.There is Dongdaemun (Heungininmun) just above the station by transfer station.The exit of Line 4 was the Dongdaemun Market, which was good for clothes.Dongdaemun History and Culture Park (formerly Dongdaemun Movement Station), Dongmyo front Station, and Jongno 5 -ga Station are close enough to walk.There are also underground shopping malls ... There are a lot of people .../Dongdaemun is very good ^^ ~ I often go to travel and buy things.Really.It's a station, can't you improve Line 1?It's so messy/Sometimes I'm surprised ~ Our precious cultural heritage/Dongdaemun is a post -toe toe love that I posted from Line 1 and 4./Bokjam \ n Handae Dongdaemun Station is convenient for joking/transportation ~/It is old since it was built.There is a lot of value/History/Transit passage is too long.Line 4 transfer/lively and bright/Dongdaemun likes/People/Good/Good/Hungjimun/123/Likes/Happy Stop \This is a station where you can enjoy food festivals on this street of Hyundai City Outlet and Dongdaemun Fish.From here, the square market is not far from walking.Inexpensive price close to local life.All clothes and markets are there.The fruit and vegetables are quite cheap, and the food store sells all the street foods that people crave.It is usually full of shoppers.Trains on Line 1 and Line 4 stop here.!…The entire area where you can be shopping in detail/shopping is too many to shop in one day, and it's a very good place to buy, but if you don't have a special discount, the price is not cheaper.Otherwise, the product you buy is:Korean clothes I bought in Taiwan are not very cheap.The things are not really cheap.If you want to buy, go to Myeong -dong.If you don't like shopping, go to Lotte Department Store.You can eat Korean food on the 9th floor, but it's very good for the price.. \ N This is a transit station of Line 1 and 4 in the spatial worldview.If you come out to Exit 4 of Line 4, there are several stalls that sell street food cheaper than Myeong -dong.If you want to go to DDP, it's closer if you come out to Exit 1 (Line 1).There are many restaurants outside the station (Exit 1).If you have 3,000 won in a bowl, you can eat cold noodles, but the amount is huge.Good place ./ The night view of Dongdaemun in Korea is beautiful!???…/Goodbye to Serariya in the bitter cold/everything is well managed and natural./Cool and beautiful place./History place",122
